City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,nagorsk,8.3567,8.8634,32.45,30,65,2.3,NG,1675022741
140,emet,39.3816,-2.5458,2.88,65,17,3.76,ES,1675022748
141,keetmanshoop,38.6248,102.9902,-3.72,22,26,2.6,CN,1675022754
142,koraput,47.4245,-68.085,-12.01,89,100,2.39,CA,1675022755
143,hambantota,39.2633,-102.5635,-15.58,86,100,2.89,US,1675022756
144,dhidhdhoo,61.5483,98.2829,-20.72,100,98,1.53,RU,1675022756
145,huambo,-19.7388,-58.8548,33.28,42,93,3.33,BO,1675022760
146,cabra,-19.1812,26.8928,20.48,78,68,2.46,ZW,1675022761
147,beloha,-8.9822,141.036,24.71,93,100,0.68,PG,1675022780
148,ryotsu,19.3662,120.8233,21.81,76,100,13.74,PH,1675022802
149,vauvert,24.3197,126.5711,16.62,56,7,7.0,JP,1675022803
150,cururupu,65.8665,46.1112,-8.71,93,99,4.37,RU,1675022806
151,saint-francois,4.0062,34.9863,29.98,25,0,2.82,UG,1675022807
152,sobolevo,39.07,39.4006,-1.43,88,99,0.64,TR,1675022810
153,grand-lahou,7.0551,1.2325,28.25,61,95,2.47,TG,1675022811
154,nizwa,-7.4996,118.3884,27.23,78,64,4.03,ID,1675022811
155,serebryanyy bor,-28.5629,150.2445,25.95,61,100,6.24,AU,1675022816
156,warqla,-16.6274,138.9087,29.35,68,88,2.09,AU,1675022817
157,clarence town,39.109,35.7787,-1.39,73,70,0.5,TR,1675022819
158,beni suef,56.9927,102.2104,-9.4,91,100,4.16,RU,1675022819
159,tilichiki,71.8562,-10.3189,-7.61,77,100,13.22,SJ,1675022834
160,nishihara,40.2987,94.9124,-7.98,49,54,3.6,CN,1675022842
161,lac du bonnet,-38.5506,-69.1829,35.88,12,0,9.89,AR,1675022844
162,tete,61.0712,91.4196,-13.25,93,100,2.97,RU,1675022845
163,kolpashevo,6.9513,-62.154,30.01,39,62,1.39,VE,1675022846
